,aL1_2,aL1_4,aL1_6,aL1_h,aL2_2,aL2_4,aL2_6,aL3_2,aL3_4,aL3_6,aL3_h,aM1_2,aM1_4,aM1_6,aM1_h,aM2_2,aM2_4,aM2_6,aM2_h,aM3_2,aM3_4,aM3_6,aM3_h,aS1_2,aS1_4,aS1_6,aS1_h,aS2_2,aS2_4,aS2_6,aS2_h,aS3_2,aS3_4,aS3_6,aS3_h,bL1_2,bL1_4,bL1_6,bL1_h,bL2_2,bL2_4,bL2_6,bL2_h,bL3_2,bL3_4,bL3_6,bL3_h,bM1_2,bM1_4,bM1_6,bM1_h,bM2_2,bM2_4,bM2_6,bM2_h,bM3_2,bM3_4,bM3_6,bM3_h,bS1_2,bS1_4,bS1_6,bS1_h,bS2_2,bS2_4,bS2_6,bS2_h,bS3_2,bS3_4,bS3_6,bS3_h
aL1_2,0,0.22397361,0.27421036,0.74427259,0.44968572,0.26868405,0.35346829,0.51225575,0.49787839,0.49377417,0.67119338,0.50854317,0.4708685,0.45367551,0.6867752,0.48689872,0.43495081,0.39740293,0.73263783,0.62256547,0.60361666,0.56425861,0.62148186,0.77721435,0.76527002,0.76639893,0.83211294,0.88590856,0.77721435,0.77721435,0.82071031,0.61742106,0.61725654,0.61783146,0.82101817,0.76409022,0.73567578,0.67610083,0.67248981,0.67508711,0.66402258,0.62843384,0.63675599,0.51719041,0.54453704,0.54395218,0.67752463,0.78983286,0.70143605,0.64502215,0.74302597,0.76000328,0.73216057,0.75077747,0.72489888,0.74677986,0.69671118,0.69284131,0.70947273,0.84760805,0.81717737,0.78109455,0.82491663,0.81049705,0.69943281,0.67204112,0.77563892,0.82451967,0.82481336,0.78101501,0.80601592
aL1_4,0.22397361,0,0.07299675,0.69344244,0.36165551,0.34816745,0.34329823,0.43536578,0.40836992,0.37286608,0.58455647,0.53274473,0.56781754,0.55438969,0.64023629,0.44592904,0.49787171,0.46714607,0.64618653,0.57368974,0.52567483,0.50587044,0.5415971,0.61960342,0.67559019,0.59291543,0.78557403,0.71506262,0.66437948,0.59951588,0.7741714,0.46599998,0.53684716,0.46734963,0.77447926,0.7121757,0.68376125,0.61906938,0.5862039,0.64781207,0.64261845,0.61901455,0.54661436,0.42179761,0.46659521,0.46601035,0.60430512,0.77273303,0.67878658,0.61006086,0.64951954,0.73873416,0.67990871,0.70165981,0.63123926,0.73414052,0.67995314,0.63338746,0.6193311,0.82811295,0.79768226,0.76159944,0.77837771,0.76635667,0.65529243,0.64841302,0.72910001,0.80502456,0.80531825,0.73095811,0.75595902
aL1_6,0.27421036,0.07299675,0,0.65452953,0.3659106,0.36485062,0.31863165,0.37757976,0.3505839,0.31508007,0.54138704,0.53799188,0.57306469,0.55963683,0.60467086,0.43477725,0.50396003,0.47306099,0.6106211,0.55263795,0.49600265,0.50616229,0.51687179,0.59452988,0.65086487,0.58079358,0.7500086,0.70372007,0.63965417,0.591609,0.74117801,0.48114829,0.51462707,0.46159974,0.74016097,0.6648347,0.63642025,0.57207661,0.55708274,0.64746009,0.64226648,0.61866258,0.53241241,0.41040011,0.42259638,0.4163896,0.57731115,0.77931431,0.68501963,0.61746157,0.61229423,0.73756276,0.67873731,0.67658627,0.56977972,0.73547498,0.68245527,0.62986453,0.56450741,0.82694154,0.79651086,0.76042804,0.74608559,0.74448545,0.63342121,0.62604151,0.69353458,0.80385316,0.80550117,0.71535033,0.73495483
aL1_h,0.74427259,0.69344244,0.65452953,0,0.76408881,0.75850675,0.71829277,0.72199394,0.65838103,0.63693584,0.37816059,0.93572237,0.93852674,0.92936181,0.58058651,0.87355955,0.8980815,0.88152539,0.68708905,0.90602181,0.83671614,0.88789443,0.73248287,0.91967815,0.905509,0.90803322,0.56523132,0.93960293,0.91652027,0.91797877,0.62822548,0.90578701,0.9088901,0.91180601,0.51625164,0.54447268,0.49457151,0.47628429,0.32405674,0.8397941,0.85942485,0.8586969,0.34023296,0.70436316,0.67012659,0.69693284,0.29839413,0.90577912,0.89713705,0.8731745,0.63424699,0.88049067,0.87498946,0.90928659,0.63418125,0.93982308,0.9101162,0.8513526,0.55681796,0.9143693,0.90620141,0.88060897,0.53844463,0.91349374,0.91861902,0.9213759,0.59654847,0.92356845,0.92607578,0.90017291,0.55117294
aL2_2,0.44968572,0.36165551,0.3659106,0.76408881,0,0.26442719,0.22339279,0.23683911,0.29096481,0.31356632,0.68528552,0.30760133,0.37019846,0.38431061,0.64501552,0.31477816,0.3928445,0.42605591,0.63486111,0.42439759,0.32840923,0.38902003,0.47678534,0.55071888,0.50609281,0.52047156,0.79322364,0.83030177,0.58854421,0.61593364,0.76103413,0.53700668,0.54215647,0.56009251,0.80375716,0.61228303,0.58503441,0.52609345,0.67114726,0.43344422,0.36287604,0.3049407,0.60472219,0.40612011,0.28926406,0.26049796,0.69040084,0.70983626,0.61692806,0.48521402,0.60449776,0.58129055,0.52544064,0.56027234,0.62381122,0.60913717,0.50204519,0.484374,0.6192437,0.64858136,0.61815068,0.58206786,0.75365015,0.58430029,0.57243278,0.57739794,0.7195713,0.62549298,0.62578667,0.5541141,0.68621782
aL2_4,0.26868405,0.34816745,0.36485062,0.75850675,0.26442719,0,0.1041863,0.37765764,0.34858929,0.3557973,0.64961195,0.29479772,0.25712305,0.2454345,0.66444026,0.4595101,0.4004841,0.37515569,0.63786848,0.48946081,0.42571329,0.34490993,0.4756178,0.62081657,0.58124021,0.58605775,0.78309814,0.84900091,0.66061941,0.67059955,0.74847911,0.65481587,0.65314038,0.66909892,0.8231819,0.60738976,0.58458652,0.53182629,0.64628884,0.48053908,0.47715967,0.47082329,0.57556162,0.41838981,0.38574246,0.37796365,0.66554242,0.76097273,0.66608702,0.56829482,0.61689866,0.60146691,0.54264146,0.55362409,0.62389857,0.60495438,0.55968157,0.52687022,0.64271269,0.6908457,0.66041501,0.64332626,0.7541529,0.64848608,0.64107302,0.64508837,0.73899604,0.66775731,0.66849166,0.62092406,0.6959879
aL2_6,0.35346829,0.34329823,0.31863165,0.71829277,0.22339279,0.1041863,0,0.28642824,0.26051176,0.28553761,0.60266104,0.26056267,0.26535393,0.25233556,0.62793054,0.40094948,0.35511026,0.35026917,0.59646315,0.45850125,0.35836435,0.3158035,0.4334974,0.58751396,0.53949344,0.54193972,0.75892112,0.83530028,0.6273168,0.63729694,0.72673161,0.62735888,0.60998556,0.6259441,0.78667218,0.56412463,0.5378212,0.48506097,0.61651354,0.45355707,0.44583504,0.4286863,0.56669708,0.37404735,0.31171925,0.29695782,0.63576711,0.73532106,0.64043536,0.53755572,0.55601104,0.57931542,0.52048998,0.51862036,0.55501151,0.60731491,0.52767789,0.4760049,0.58118515,0.66869421,0.63826353,0.60641255,0.71934763,0.60078458,0.59337152,0.59738687,0.70268447,0.64560582,0.6512502,0.57850676,0.66165837
aL3_2,0.51225575,0.43536578,0.37757976,0.72199394,0.23683911,0.37765764,0.28642824,0,0.09985688,0.15416958,0.56005949,0.3282734,0.42324509,0.412115,0.549345,0.28551655,0.31552759,0.35316961,0.47353158,0.27017184,0.20771269,0.31719271,0.3497963,0.46847162,0.45430247,0.46720216,0.62861895,0.70242344,0.46531374,0.4880553,0.61280572,0.51691225,0.44875622,0.46667724,0.69831334,0.61875395,0.59296075,0.53539344,0.55503122,0.4623272,0.36515058,0.32751351,0.53122557,0.31657175,0.20983574,0.18270166,0.59812486,0.62894251,0.53702962,0.41707867,0.50139067,0.56818609,0.51233618,0.5065789,0.44348438,0.59808919,0.4904269,0.46068285,0.47206448,0.67432347,0.60677258,0.57230942,0.61672456,0.50404654,0.50082523,0.5168819,0.63235706,0.61818706,0.61996093,0.53836327,0.59281132
aL3_4,0.49787839,0.40836992,0.3505839,0.65838103,0.29096481,0.34858929,0.26051176,0.09985688,0,0.0688498,0.48909862,0.34557973,0.41565298,0.40452289,0.58360245,0.30609839,0.35216085,0.36593812,0.48644437,0.31169043,0.25908038,0.31520619,0.3357764,0.52153578,0.50804124,0.50989085,0.64890234,0.72375347,0.5183779,0.5198364,0.61671283,0.57732436,0.50792506,0.51052332,0.72594469,0.56240094,0.5339865,0.47041404,0.49765868,0.49554864,0.44153448,0.41793058,0.54412586,0.35269215,0.2561984,0.24136925,0.61102514,0.6736893,0.58177641,0.47585863,0.53564813,0.60108527,0.54225982,0.53284377,0.46501104,0.62475465,0.54110012,0.49197494,0.45545639,0.70754491,0.66003338,0.6316749,0.64666538,0.56068143,0.55746012,0.57123912,0.66661451,0.66955995,0.67133383,0.59584085,0.62706877
aL3_6,0.49377417,0.37286608,0.31508007,0.63693584,0.31356632,0.3557973,0.28553761,0.15416958,0.0688498,0,0.49106424,0.39599726,0.44611016,0.43268216,0.58465085,0.34486145,0.37589876,0.37990169,0.49542398,0.35146025,0.30211692,0.32712742,0.36637948,0.52619111,0.51202196,0.51454618,0.65363242,0.69503676,0.52303323,0.52449174,0.62340885,0.57678874,0.51364114,0.51655705,0.72137643,0.53940298,0.51295065,0.45538334,0.47807099,0.52674446,0.49147302,0.46786912,0.54964962,0.38464434,0.2950942,0.28971507,0.61654891,0.69767424,0.60576134,0.49984357,0.53669653,0.63201382,0.57318838,0.55463761,0.46256756,0.63010404,0.57208012,0.52295494,0.45088813,0.73874074,0.69096193,0.66047867,0.6480505,0.59991312,0.59561368,0.60221911,0.66766291,0.69916155,0.70093543,0.62331767,0.63482243
aL3_h,0.67119338,0.58455647,0.54138704,0.37816059,0.68528552,0.64961195,0.60266104,0.56005949,0.48909862,0.49106424,0,0.76427459,0.75667598,0.74531901,0.51255111,0.73455716,0.71155661,0.72709401,0.4039265,0.667616,0.63752536,0.6792895,0.44249354,0.67726298,0.66346233,0.69050591,0.45196799,0.71071851,0.64778663,0.64924513,0.45344577,0.84003447,0.75542404,0.71405509,0.57142957,0.6022936,0.55239244,0.52960935,0.24725564,0.72376667,0.73919727,0.7385468,0.38544716,0.48927278,0.54725299,0.56556346,0.38693413,0.79005778,0.77950301,0.73309848,0.47880533,0.76026308,0.72379626,0.70848509,0.44854446,0.87699475,0.8513178,0.78956591,0.41195096,0.81699803,0.80883014,0.79863298,0.53890837,0.74625784,0.76575162,0.79177029,0.56164142,0.86280297,0.88188864,0.82068165,0.56713753
aM1_2,0.50854317,0.53274473,0.53799188,0.93572237,0.30760133,0.29479772,0.26056267,0.3282734,0.34557973,0.39599726,0.76427459,0,0.11685966,0.11170004,0.6619933,0.34814909,0.31800507,0.35677997,0.63377541,0.4028599,0.35664048,0.30313954,0.45445959,0.53961439,0.48697208,0.51200889,0.73893419,0.81507829,0.57625935,0.60071015,0.70431515,0.62015072,0.55935438,0.57707899,0.82152808,0.67745856,0.70862123,0.66204631,0.82350446,0.46412469,0.44097253,0.40438433,0.75277725,0.54053526,0.47071394,0.43001294,0.84275804,0.74350391,0.66127577,0.54309242,0.66907409,0.56810705,0.52055913,0.48839516,0.65819241,0.5007785,0.41580509,0.4291349,0.7011726,0.54138999,0.51095931,0.49387056,0.7343092,0.41946141,0.4162401,0.42673046,0.74188539,0.59930703,0.63902212,0.58863745,0.7008593
aM1_4,0.4708685,0.56781754,0.57306469,0.93852674,0.37019846,0.25712305,0.26535393,0.42324509,0.41565298,0.44611016,0.75667598,0.11685966,0,0.03092917,0.66479767,0.39498351,0.26955123,0.27105577,0.62617681,0.45842716,0.38005444,0.31886818,0.44686099,0.5935114,0.54086909,0.55792306,0.73348225,0.84189479,0.63015636,0.64159501,0.70060126,0.68685422,0.61325139,0.630976,0.82647911,0.67635003,0.70751269,0.66093778,0.82630883,0.49990967,0.51303047,0.46643043,0.75558162,0.56650724,0.47494055,0.46982289,0.84556241,0.76947589,0.68724775,0.57157524,0.67187845,0.58002296,0.5294995,0.48943329,0.66099678,0.5104257,0.44240603,0.45006671,0.70397697,0.59006195,0.57383466,0.56382942,0.73926023,0.45759731,0.4516517,0.47254503,0.74683642,0.6350756,0.67370816,0.62686556,0.70581033
aM1_6,0.45367551,0.55438969,0.55963683,0.92936181,0.38431061,0.2454345,0.25233556,0.412115,0.40452289,0.43268216,0.74531901,0.11170004,0.03092917,0,0.65563275,0.40903204,0.28101482,0.28733196,0.61079317,0.44494697,0.37077983,0.3034347,0.4339034,0.58232925,0.52449343,0.54123646,0.72183559,0.82841473,0.62021822,0.63041286,0.68964608,0.67767755,0.59699191,0.6142894,0.81797625,0.67139834,0.702561,0.65598609,0.82264836,0.49516074,0.50740483,0.46499801,0.7475046,0.56385345,0.49080073,0.47904858,0.84190193,0.76788104,0.68459396,0.56875436,0.66271353,0.57866039,0.52813693,0.48514366,0.65183185,0.50594003,0.43890381,0.44171244,0.69481204,0.58400556,0.56480655,0.54929686,0.73075737,0.4449776,0.43774078,0.46485282,0.73833356,0.63140338,0.6693446,0.6166918,0.69730746
aM1_h,0.6867752,0.64023629,0.60467086,0.58058651,0.64501552,0.66444026,0.62793054,0.549345,0.58360245,0.58465085,0.51255111,0.6619933,0.66479767,0.65563275,0,0.57488213,0.55688977,0.52735989,0.2556814,0.55090779,0.50225107,0.50378142,0.34735748,0.54840765,0.48740229,0.44885252,0.2602873,0.60858849,0.50271656,0.55469232,0.23976744,0.57510654,0.55877599,0.59273243,0.29178136,0.62893595,0.64254535,0.64090779,0.56718599,0.62246622,0.56863914,0.55805216,0.32267556,0.55469198,0.55571179,0.53882673,0.41643824,0.57838568,0.5369815,0.50334481,0.23975768,0.51320643,0.52360435,0.50532016,0.25801788,0.68101837,0.63026033,0.62508378,0.30102695,0.60143209,0.57466508,0.54486457,0.2205243,0.59286332,0.56866831,0.58240007,0.10796146,0.66062914,0.6797148,0.5934118,0.15360125
aM2_2,0.48689872,0.44592904,0.43477725,0.87355955,0.31477816,0.4595101,0.40094948,0.28551655,0.30609839,0.34486145,0.73455716,0.34814909,0.39498351,0.40903204,0.57488213,0,0.20227748,0.19918278,0.58132863,0.38877005,0.31943931,0.35824891,0.42194327,0.56265503,0.54935926,0.57776307,0.69335084,0.77432535,0.5613036,0.59308588,0.68194822,0.54509546,0.49470083,0.49646376,0.70578148,0.75805173,0.77837263,0.72120786,0.74272273,0.51122191,0.45798065,0.39199397,0.65560738,0.43906071,0.38728703,0.3421155,0.75509907,0.64357823,0.55004396,0.42593796,0.62563574,0.64295159,0.58710167,0.57462972,0.58184559,0.66669483,0.56022892,0.56520151,0.60548306,0.70276482,0.66516058,0.62994604,0.69149005,0.5719717,0.52524132,0.52982028,0.6649454,0.67250288,0.67279657,0.58169377,0.66614018
aM2_4,0.43495081,0.49787171,0.50396003,0.8980815,0.3928445,0.4004841,0.35511026,0.31552759,0.35216085,0.37589876,0.71155661,0.31800507,0.26955123,0.28101482,0.55688977,0.20227748,0,0.08884893,0.51630275,0.3568868,0.31948759,0.30556419,0.38471964,0.51098087,0.49903654,0.52296475,0.60223298,0.71235462,0.51098087,0.53654493,0.6282164,0.56302627,0.4781661,0.49173589,0.66254438,0.7797788,0.8000997,0.74877347,0.74354888,0.5502394,0.48560529,0.42173773,0.63954745,0.43194593,0.38239672,0.36916065,0.74002219,0.62710881,0.53831443,0.42810006,0.60813237,0.61467513,0.5646406,0.52968294,0.56434222,0.62466951,0.51955503,0.54926816,0.60721319,0.71149138,0.65614513,0.62714582,0.6478947,0.49551532,0.48805375,0.52409748,0.63525088,0.65614513,0.65614513,0.5685844,0.62405264
aM2_6,0.39740293,0.46714607,0.47306099,0.88152539,0.42605591,0.37515569,0.35026917,0.35316961,0.36593812,0.37990169,0.72709401,0.35677997,0.27105577,0.28733196,0.52735989,0.19918278,0.08884893,0,0.52312067,0.3852276,0.32646897,0.31461149,0.40151948,0.54878001,0.53607389,0.53720281,0.61769427,0.71664337,0.54801823,0.56352196,0.64328509,0.57107218,0.51702958,0.54156367,0.6455539,0.76524691,0.78556781,0.72899269,0.7282552,0.57435606,0.51036244,0.45020149,0.61741677,0.44391222,0.38842652,0.38870614,0.72472852,0.64280066,0.54478614,0.44541916,0.58285677,0.59664841,0.54363834,0.5138125,0.53906662,0.61595001,0.53091855,0.53455955,0.59191951,0.73708903,0.66108897,0.63208966,0.63126248,0.55037552,0.52951369,0.54647338,0.61037195,0.66108897,0.66119579,0.57458703,0.60591261
aM2_h,0.73263783,0.64618653,0.6106211,0.68708905,0.63486111,0.63786848,0.59646315,0.47353158,0.48644437,0.49542398,0.4039265,0.63377541,0.62617681,0.61079317,0.2556814,0.58132863,0.51630275,0.52312067,0,0.42389095,0.42672774,0.44787047,0.17931582,0.49642002,0.42791699,0.42925966,0.2614571,0.43950425,0.31932741,0.36132303,0.19171258,0.65819111,0.58552513,0.51869177,0.47916897,0.60379683,0.62111261,0.61517071,0.52051803,0.63062696,0.58267079,0.57368772,0.41551947,0.50863986,0.52916993,0.51615248,0.51596708,0.58647284,0.53972593,0.49542965,0.26071984,0.52756917,0.53215172,0.51838065,0.23110765,0.7039107,0.66074388,0.6077088,0.30903684,0.63239674,0.59697926,0.57682889,0.36076009,0.55853204,0.59601613,0.63300967,0.33849757,0.68294333,0.70202899,0.63295584,0.34399368
aM3_2,0.62256547,0.57368974,0.55263795,0.90602181,0.42439759,0.48946081,0.45850125,0.27017184,0.31169043,0.35146025,0.667616,0.4028599,0.45842716,0.44494697,0.55090779,0.38877005,0.3568868,0.3852276,0.42389095,0,0.1608579,0.19502585,0.32439225,0.33031259,0.3367645,0.40838189,0.44955088,0.55910828,0.39909549,0.42085446,0.5197971,0.57106717,0.49728405,0.44917805,0.54640403,0.74317043,0.76349134,0.70592402,0.72168468,0.54334325,0.41169618,0.39597919,0.62705337,0.37980991,0.36446869,0.35786674,0.72503523,0.66222661,0.54269075,0.4509512,0.55786886,0.43736235,0.38435229,0.34855424,0.49308129,0.43875667,0.38156157,0.39019461,0.6002568,0.7195735,0.60269778,0.58509666,0.47890407,0.5133701,0.54280395,0.58200577,0.54408189,0.49307818,0.49485206,0.4306288,0.53575292
aM3_4,0.60361666,0.52567483,0.49600265,0.83671614,0.32840923,0.42571329,0.35836435,0.20771269,0.25908038,0.30211692,0.63752536,0.35664048,0.38005444,0.37077983,0.50225107,0.31943931,0.31948759,0.32646897,0.42672774,0.1608579,0,0.14384603,0.32532708,0.34781211,0.33893089,0.36729974,0.50711006,0.63337955,0.4595298,0.49111118,0.57978581,0.5447821,0.47689214,0.51838905,0.57286161,0.63212142,0.65244233,0.59487501,0.64657981,0.47469895,0.36653729,0.30672719,0.55191415,0.30077264,0.22592413,0.21586433,0.65200319,0.63575422,0.50524859,0.37493496,0.44165477,0.42251033,0.36368489,0.34328301,0.41155249,0.45385559,0.38756301,0.33843783,0.51849552,0.66624187,0.54936615,0.52830025,0.48564273,0.48728814,0.50086216,0.53845549,0.49984957,0.48880073,0.50306357,0.43313589,0.49004025
aM3_6,0.56425861,0.50587044,0.50616229,0.88789443,0.38902003,0.34490993,0.3158035,0.31719271,0.31520619,0.32712742,0.6792895,0.30313954,0.31886818,0.3034347,0.50378142,0.35824891,0.30556419,0.31461149,0.44787047,0.19502585,0.14384603,0,0.33408486,0.33888776,0.31160873,0.35618254,0.50830421,0.64201782,0.48883757,0.51911818,0.57855042,0.58484482,0.51512855,0.55428448,0.56125844,0.62580103,0.64612193,0.59030859,0.68858076,0.44752632,0.36806358,0.35767354,0.59353899,0.35703235,0.3295944,0.32527256,0.69652508,0.65346499,0.51993691,0.43121177,0.48750927,0.37700938,0.31818393,0.29478191,0.45956691,0.39061653,0.35119752,0.34013737,0.56674242,0.63906924,0.53117543,0.52065783,0.47403956,0.46839917,0.48071067,0.51865834,0.50657473,0.4449394,0.46135353,0.40131857,0.50613328
aM3_h,0.62148186,0.5415971,0.51687179,0.73248287,0.47678534,0.4756178,0.4334974,0.3497963,0.3357764,0.36637948,0.44249354,0.45445959,0.44686099,0.4339034,0.34735748,0.42194327,0.38471964,0.40151948,0.17931582,0.32439225,0.32532708,0.33408486,0,0.46409917,0.40695507,0.43399865,0.33754237,0.5730111,0.36440659,0.38073773,0.30457008,0.62625336,0.54164293,0.47023078,0.55708954,0.58983171,0.60985819,0.56147769,0.54572033,0.46770291,0.45231925,0.44567756,0.44956512,0.41249166,0.42084729,0.40742008,0.56956767,0.57125877,0.47934587,0.41957608,0.33099958,0.47885383,0.45556934,0.44791271,0.29639613,0.60958453,0.54711178,0.51112746,0.33937632,0.58867406,0.56465842,0.55077359,0.42080012,0.53247673,0.55197052,0.57798918,0.4325079,0.65062248,0.66970815,0.60690054,0.3913275
