,aL1_2,aL1_4,aL1_6,aL1_h,aL2_2,aL2_4,aL2_6,aL3_2,aL3_4,aL3_6,aL3_h,aM1_2,aM1_4,aM1_6,aM1_h,aM2_2,aM2_4,aM2_6,aM2_h,aM3_2,aM3_4,aM3_6,aM3_h,aS1_2,aS1_4,aS1_6,aS1_h,aS2_2,aS2_4,aS2_6,aS2_h,aS3_2,aS3_4,aS3_6,aS3_h,bL1_2,bL1_4,bL1_6,bL1_h,bL2_2,bL2_4,bL2_6,bL2_h,bL3_2,bL3_4,bL3_6,bL3_h,bM1_2,bM1_4,bM1_6,bM1_h,bM2_2,bM2_4,bM2_6,bM2_h,bM3_2,bM3_4,bM3_6,bM3_h,bS1_2,bS1_4,bS1_6,bS1_h,bS2_2,bS2_4,bS2_6,bS2_h,bS3_2,bS3_4,bS3_6,bS3_h
aS1_2,0.77721435,0.61960342,0.59452988,0.91967815,0.55071888,0.62081657,0.58751396,0.46847162,0.52153578,0.52619111,0.67726298,0.53961439,0.5935114,0.58232925,0.54840765,0.56265503,0.51098087,0.54878001,0.49642002,0.33031259,0.34781211,0.33888776,0.46409917,0,0.12152092,0.15318374,0.45065435,0.44061224,0.21371184,0.27759138,0.52090057,0.32165364,0.30289775,0.29962914,0.51974591,0.70614292,0.72368597,0.68211809,0.73691674,0.4965382,0.42316639,0.41439674,0.66142893,0.41114978,0.46271381,0.45161327,0.75699689,0.57204349,0.53266618,0.47993646,0.52873824,0.39472374,0.36348904,0.3264997,0.5312365,0.51472359,0.44819123,0.46408708,0.65164849,0.50886042,0.3919847,0.37438358,0.41721239,0.36229794,0.38897796,0.42722997,0.46779428,0.3577314,0.35053252,0.30187,0.45798496
aS1_4,0.76527002,0.67559019,0.65086487,0.905509,0.50609281,0.58124021,0.53949344,0.45430247,0.50804124,0.51202196,0.66346233,0.48697208,0.54086909,0.52449343,0.48740229,0.54935926,0.49903654,0.53607389,0.42791699,0.3367645,0.33893089,0.31160873,0.40695507,0.12152092,0,0.12881412,0.40590544,0.45254832,0.21158359,0.29781396,0.46174148,0.41023063,0.33961134,0.35292764,0.52435154,0.61449977,0.64171878,0.61370533,0.73469192,0.47777167,0.41699205,0.40730031,0.65478757,0.42752912,0.45550499,0.44481421,0.75477208,0.55050178,0.5102414,0.46475122,0.46773287,0.31402,0.32290117,0.29041045,0.47575156,0.48308087,0.40237936,0.42050003,0.59064312,0.44325768,0.34221026,0.31057775,0.38806212,0.33158708,0.35875428,0.3979561,0.40678891,0.33264161,0.35663933,0.29497336,0.3969796
aS1_6,0.76639893,0.59291543,0.58079358,0.90803322,0.52047156,0.58605775,0.54193972,0.46720216,0.50989085,0.51454618,0.69050591,0.51200889,0.55792306,0.54123646,0.44885252,0.57776307,0.52296475,0.53720281,0.42925966,0.40838189,0.36729974,0.35618254,0.43399865,0.15318374,0.12881412,0,0.43294902,0.34938248,0.24563049,0.24041869,0.44388435,0.36925058,0.36553775,0.33620057,0.57144957,0.60592943,0.62163853,0.61462979,0.73608722,0.53523478,0.46179982,0.44910475,0.65618287,0.46793825,0.46596692,0.47731289,0.75616738,0.5474055,0.50574982,0.46165494,0.42535638,0.36707761,0.38452895,0.35064294,0.43224615,0.54331335,0.46874585,0.48186143,0.54826663,0.45582008,0.39967337,0.36916978,0.43516015,0.40153279,0.41685913,0.45515283,0.38475531,0.43467853,0.4525777,0.3824637,0.35686027
aS1_h,0.83211294,0.78557403,0.7500086,0.56523132,0.79322364,0.78309814,0.75892112,0.62861895,0.64890234,0.65363242,0.45196799,0.73893419,0.73348225,0.72183559,0.2602873,0.69335084,0.60223298,0.61769427,0.2614571,0.44955088,0.50711006,0.50830421,0.33754237,0.45065435,0.40590544,0.43294902,0,0.50260741,0.41436402,0.436123,0.16785941,0.68238457,0.60971859,0.55165448,0.2304177,0.75111484,0.76865789,0.73041216,0.60529543,0.69782781,0.64660897,0.64481376,0.3069821,0.55423812,0.59448913,0.61319147,0.40497959,0.68508232,0.64556992,0.60633743,0.38838533,0.55922651,0.5488109,0.51767959,0.36964542,0.68651367,0.66499041,0.66524352,0.45475826,0.69300387,0.59138914,0.57972786,0.13383472,0.58127206,0.62020959,0.65720313,0.20210944,0.63717766,0.65626332,0.59410459,0.16648907
aS2_2,0.88590856,0.71506262,0.70372007,0.93960293,0.83030177,0.84900091,0.83530028,0.70242344,0.72375347,0.69503676,0.71071851,0.81507829,0.84189479,0.82841473,0.60858849,0.77432535,0.71235462,0.71664337,0.43950425,0.55910828,0.63337955,0.64201782,0.5730111,0.44061224,0.45254832,0.34938248,0.50260741,0,0.30992228,0.2241084,0.42954111,0.58825229,0.62258276,0.45726986,0.69679241,0.82281669,0.82674082,0.83085723,0.8209099,0.83830418,0.76486922,0.75616272,0.76363846,0.70039958,0.72548783,0.71929706,0.82175999,0.65795398,0.6193116,0.57997882,0.56610142,0.69565853,0.71013434,0.66584017,0.53199487,0.83467425,0.81812833,0.81583363,0.62235982,0.70211598,0.70274277,0.68305459,0.63268274,0.70406393,0.73074394,0.76899595,0.57404901,0.77324559,0.79114476,0.72756772,0.59608942
aS2_4,0.77721435,0.66437948,0.63965417,0.91652027,0.58854421,0.66061941,0.6273168,0.46531374,0.5183779,0.52303323,0.64778663,0.57625935,0.63015636,0.62021822,0.50271656,0.5613036,0.51098087,0.54801823,0.31932741,0.39909549,0.4595298,0.48883757,0.36440659,0.21371184,0.21158359,0.24563049,0.41436402,0.30992228,0,0.13609125,0.34123759,0.38244599,0.31347738,0.27270242,0.64478172,0.68885877,0.70640183,0.6821625,0.73375886,0.5283819,0.45494694,0.44624045,0.65827105,0.47222573,0.51493254,0.47824245,0.75383901,0.5119837,0.49584947,0.43672996,0.50690742,0.50415602,0.52160736,0.4900497,0.5011748,0.68272012,0.61363996,0.63208362,0.59140362,0.48814516,0.41673143,0.39755562,0.50849231,0.39590626,0.42224191,0.46144373,0.50232194,0.52257005,0.51121406,0.46765854,0.4627762
aS2_6,0.77721435,0.59951588,0.591609,0.91797877,0.61593364,0.67059955,0.63729694,0.4880553,0.5198364,0.52449174,0.64924513,0.60071015,0.64159501,0.63041286,0.55469232,0.59308588,0.53654493,0.56352196,0.36132303,0.42085446,0.49111118,0.51911818,0.38073773,0.27759138,0.29781396,0.24041869,0.436123,0.2241084,0.13609125,0,0.36293274,0.37859227,0.41071855,0.2446011,0.6665407,0.71907555,0.73661861,0.69335135,0.73521736,0.62393604,0.56079315,0.54838005,0.67082593,0.55434399,0.5607676,0.54611425,0.75839283,0.60837991,0.60623647,0.55879902,0.55888317,0.55445117,0.55334647,0.52033031,0.54317041,0.71300073,0.6534081,0.66236422,0.61309877,0.59940792,0.53258604,0.51341022,0.53744301,0.51176087,0.51871632,0.55553936,0.5542977,0.60852536,0.62642453,0.56284749,0.51475195
aS2_h,0.82071031,0.7741714,0.74117801,0.62822548,0.76103413,0.74847911,0.72673161,0.61280572,0.61671283,0.62340885,0.45344577,0.70431515,0.70060126,0.68964608,0.23976744,0.68194822,0.6282164,0.64328509,0.19171258,0.5197971,0.57978581,0.57855042,0.30457008,0.52090057,0.46174148,0.44388435,0.16785941,0.42954111,0.34123759,0.36293274,0,0.68613315,0.60152272,0.51149198,0.39827711,0.6948698,0.7105789,0.69654121,0.60960111,0.66320877,0.64377171,0.64069942,0.40256234,0.64601545,0.65443183,0.643677,0.49012924,0.6255985,0.62472849,0.57595228,0.34203873,0.61502639,0.63002066,0.59888935,0.34591125,0.76772343,0.74862969,0.74888281,0.36940974,0.58931509,0.62145981,0.61065337,0.27427925,0.60360088,0.61474809,0.64297503,0.22289362,0.70742387,0.72650954,0.66678033,0.23768593
aS3_2,0.61742106,0.46599998,0.48114829,0.90578701,0.53700668,0.65481587,0.62735888,0.51691225,0.57732436,0.57678874,0.84003447,0.62015072,0.68685422,0.67767755,0.57510654,0.54509546,0.56302627,0.57107218,0.65819111,0.57106717,0.5447821,0.58484482,0.62625336,0.32165364,0.41023063,0.36925058,0.68238457,0.58825229,0.38244599,0.37859227,0.68613315,0,0.14699644,0.18066017,0.67574642,0.78807087,0.80561392,0.76229207,0.7572785,0.56364886,0.49313627,0.47038782,0.70297478,0.55433617,0.53928154,0.50721961,0.77276489,0.63423197,0.62394983,0.56483032,0.60389319,0.60508888,0.57385418,0.58368337,0.65139187,0.66553604,0.57952072,0.59915496,0.6882209,0.58490653,0.49171761,0.45563478,0.64281109,0.44892116,0.35383575,0.31460998,0.58116043,0.53212209,0.50337985,0.44665411,0.57537876
aS3_4,0.61725654,0.53684716,0.51462707,0.9088901,0.54215647,0.65314038,0.60998556,0.44875622,0.50792506,0.51364114,0.75542404,0.55935438,0.61325139,0.59699191,0.55877599,0.49470083,0.4781661,0.51702958,0.58552513,0.49728405,0.47689214,0.51512855,0.54164293,0.30289775,0.33961134,0.36553775,0.60971859,0.62258276,0.31347738,0.41071855,0.60152272,0.14699644,0,0.1890852,0.66392583,0.79322065,0.81076371,0.76744185,0.76038159,0.5468827,0.48415825,0.45770319,0.71141929,0.54438222,0.55042039,0.51273655,0.77645937,0.63469927,0.63572976,0.5773074,0.61114527,0.62545073,0.59421603,0.55956767,0.63544806,0.6827948,0.5969863,0.61641371,0.68824998,0.59332393,0.49552644,0.45371869,0.61280062,0.35655044,0.24685164,0.23088766,0.57388302,0.55086927,0.52064684,0.45000962,0.57359745
aS3_6,0.61783146,0.46734963,0.46159974,0.91180601,0.56009251,0.66909892,0.6259441,0.46667724,0.51052332,0.51655705,0.71405509,0.57707899,0.630976,0.6142894,0.59273243,0.49646376,0.49173589,0.54156367,0.51869177,0.44917805,0.51838905,0.55428448,0.47023078,0.29962914,0.35292764,0.33620057,0.55165448,0.45726986,0.27270242,0.2446011,0.51149198,0.18066017,0.1890852,0,0.69003912,0.80917919,0.82672225,0.78515437,0.77118324,0.6241205,0.58459343,0.55813837,0.73753258,0.57806331,0.57923001,0.54541379,0.80257266,0.68128576,0.67744295,0.63170488,0.65264218,0.66694764,0.63571294,0.5987236,0.66156135,0.7213758,0.63790829,0.65499472,0.69814765,0.63930193,0.58733108,0.55124825,0.63891391,0.44264086,0.34594514,0.32378519,0.6072426,0.59467337,0.59496707,0.50386426,0.60843739
aS3_h,0.82101817,0.77447926,0.74016097,0.51625164,0.80375716,0.8231819,0.78667218,0.69831334,0.72594469,0.72137643,0.57142957,0.82152808,0.82647911,0.81797625,0.29178136,0.70578148,0.66254438,0.6455539,0.47916897,0.54640403,0.57286161,0.56125844,0.55708954,0.51974591,0.52435154,0.57144957,0.2304177,0.69679241,0.64478172,0.6665407,0.39827711,0.67574642,0.66392583,0.69003912,0,0.8291589,0.83114383,0.81314928,0.60975204,0.75036699,0.70207052,0.68866289,0.27713466,0.59514865,0.63201841,0.6511305,0.33286775,0.76216956,0.72265716,0.68727572,0.45362124,0.5311421,0.49745033,0.47838702,0.45131811,0.61311812,0.57708923,0.57853292,0.50194338,0.77454771,0.67678404,0.64855823,0.13944016,0.67083431,0.67381816,0.68754991,0.21429003,0.56763316,0.58671882,0.50041582,0.23550246
bL1_2,0.76409022,0.7121757,0.6648347,0.54447268,0.61228303,0.60738976,0.56412463,0.61875395,0.56240094,0.53940298,0.6022936,0.67745856,0.67635003,0.67139834,0.62893595,0.75805173,0.7797788,0.76524691,0.60379683,0.74317043,0.63212142,0.62580103,0.58983171,0.70614292,0.61449977,0.60592943,0.75111484,0.82281669,0.68885877,0.71907555,0.6948698,0.78807087,0.79322065,0.80917919,0.8291589,0,0.05173512,0.09612331,0.50550336,0.57087051,0.57825558,0.59082129,0.68152211,0.64709174,0.57273257,0.58722106,0.73938596,0.69284497,0.65500107,0.63110441,0.53027988,0.53115467,0.56764185,0.59409026,0.53896557,0.68292668,0.67301682,0.61051484,0.48667845,0.60280524,0.63032807,0.62824102,0.72190218,0.73472771,0.73545831,0.73726538,0.67090656,0.6989251,0.71701856,0.73180911,0.66942621
bL1_4,0.73567578,0.68376125,0.63642025,0.49457151,0.58503441,0.58458652,0.5378212,0.59296075,0.5339865,0.51295065,0.55239244,0.70862123,0.70751269,0.702561,0.64254535,0.77837263,0.8000997,0.78556781,0.62111261,0.76349134,0.65244233,0.64612193,0.60985819,0.72368597,0.64171878,0.62163853,0.76865789,0.82674082,0.70640183,0.73661861,0.7105789,0.80561392,0.81076371,0.82672225,0.83114383,0.05173512,0,0.0655066,0.45560219,0.58781923,0.59454927,0.60916605,0.64386752,0.61175339,0.54431812,0.55880661,0.6894848,0.7039464,0.66656411,0.64959136,0.54138131,0.5536311,0.59375512,0.61716321,0.550067,0.70368338,0.69608976,0.63358778,0.49569245,0.62126637,0.65754708,0.65546002,0.73252133,0.76174379,0.76267731,0.76448438,0.68661566,0.7261441,0.74374958,0.74935217,0.68513531
bL1_6,0.67610083,0.61906938,0.57207661,0.47628429,0.52609345,0.53182629,0.48506097,0.53539344,0.47041404,0.45538334,0.52960935,0.66204631,0.66093778,0.65598609,0.64090779,0.72120786,0.74877347,0.72899269,0.61517071,0.70592402,0.59487501,0.59030859,0.56147769,0.68211809,0.61370533,0.61462979,0.73041216,0.83085723,0.6821625,0.69335135,0.69654121,0.76229207,0.76744185,0.78515437,0.81314928,0.09612331,0.0655066,0,0.4328191,0.54541662,0.54642785,0.55256542,0.6004527,0.56007869,0.47881152,0.49330002,0.66670171,0.71044675,0.66068695,0.62130821,0.53930757,0.54704593,0.5543767,0.58838481,0.54799326,0.67511268,0.65707703,0.59632902,0.48665142,0.63435735,0.62927596,0.61861482,0.70127741,0.73025553,0.72584845,0.72860533,0.67564432,0.69787299,0.71547847,0.70785635,0.67407692
bL1_h,0.67248981,0.5862039,0.55708274,0.32405674,0.67114726,0.64628884,0.61651354,0.55503122,0.49765868,0.47807099,0.24725564,0.82350446,0.82630883,0.82264836,0.56718599,0.74272273,0.74354888,0.7282552,0.52051803,0.72168468,0.64657981,0.68858076,0.54572033,0.73691674,0.73469192,0.73608722,0.60529543,0.8209099,0.73375886,0.73521736,0.60960111,0.7572785,0.76038159,0.77118324,0.60975204,0.50550336,0.45560219,0.4328191,0,0.70464448,0.69170845,0.68866666,0.4065228,0.46163106,0.47579692,0.50219342,0.36655988,0.76652909,0.75597432,0.70823075,0.4970407,0.71277427,0.67630745,0.70997292,0.46845904,0.78798313,0.76709917,0.70534728,0.42167398,0.79263108,0.75503727,0.7463179,0.60091911,0.76498523,0.77011051,0.77286739,0.60091911,0.77240431,0.78988817,0.7516644,0.60091911
bL2_2,0.67508711,0.64781207,0.64746009,0.8397941,0.43344422,0.48053908,0.45355707,0.4623272,0.49554864,0.52674446,0.72376667,0.46412469,0.49990967,0.49516074,0.62246622,0.51122191,0.5502394,0.57435606,0.63062696,0.54334325,0.47469895,0.44752632,0.46770291,0.4965382,0.47777167,0.53523478,0.69782781,0.83830418,0.5283819,0.62393604,0.66320877,0.56364886,0.5468827,0.6241205,0.75036699,0.57087051,0.58781923,0.54541662,0.70464448,0,0.14141777,0.19875342,0.62258541,0.42367008,0.43076938,0.39757347,0.71633247,0.56915629,0.49861528,0.41372233,0.56459988,0.45008579,0.43209541,0.48324241,0.59408575,0.53523553,0.47155293,0.48469249,0.59478962,0.44218418,0.39306474,0.38862566,0.66888257,0.36531693,0.43946827,0.45922951,0.6537257,0.49316219,0.49662281,0.5320517,0.6072035
bL2_4,0.66402258,0.64261845,0.64226648,0.85942485,0.36287604,0.47715967,0.44583504,0.36515058,0.44153448,0.49147302,0.73919727,0.44097253,0.51303047,0.50740483,0.56863914,0.45798065,0.48560529,0.51036244,0.58267079,0.41169618,0.36653729,0.36806358,0.45231925,0.42316639,0.41699205,0.46179982,0.64660897,0.76486922,0.45494694,0.56079315,0.64377171,0.49313627,0.48415825,0.58459343,0.70207052,0.57825558,0.59454927,0.54642785,0.69170845,0.14141777,0,0.06759059,0.58654961,0.37193712,0.37715484,0.31835275,0.68749342,0.51632281,0.44328902,0.35242034,0.51664371,0.40624802,0.39249819,0.43777427,0.54612958,0.50101683,0.42900717,0.44801764,0.57083721,0.45756879,0.34679645,0.33663856,0.61766373,0.3648631,0.40748229,0.43821842,0.60250687,0.45417741,0.44304065,0.46265186,0.55598466
bL2_6,0.62843384,0.61901455,0.61866258,0.8586969,0.3049407,0.47082329,0.4286863,0.32751351,0.41793058,0.46786912,0.7385468,0.40438433,0.46643043,0.46499801,0.55805216,0.39199397,0.42173773,0.45020149,0.57368772,0.39597919,0.30672719,0.35767354,0.44567756,0.41439674,0.40730031,0.44910475,0.64481376,0.75616272,0.44624045,0.54838005,0.64069942,0.47038782,0.45770319,0.55813837,0.68866289,0.59082129,0.60916605,0.55256542,0.68866666,0.19875342,0.06759059,0,0.58279787,0.36488923,0.32608233,0.26769,0.68445163,0.51914347,0.45142019,0.32008897,0.50766064,0.42055921,0.39516486,0.43883703,0.53984898,0.51286457,0.42025587,0.43907255,0.55814754,0.47062551,0.36328233,0.33768391,0.60917167,0.39061627,0.39289141,0.42362753,0.59401481,0.46602515,0.45488839,0.44448579,0.5474926
bL2_h,0.63675599,0.54661436,0.53241241,0.34023296,0.60472219,0.57556162,0.56669708,0.53122557,0.54412586,0.54964962,0.38544716,0.75277725,0.75558162,0.7475046,0.32267556,0.65560738,0.63954745,0.61741677,0.41551947,0.62705337,0.55191415,0.59353899,0.44956512,0.66142893,0.65478757,0.65618287,0.3069821,0.76363846,0.65827105,0.67082593,0.40256234,0.70297478,0.71141929,0.73753258,0.27713466,0.68152211,0.64386752,0.6004527,0.4065228,0.62258541,0.58654961,0.58279787,0,0.41250507,0.44396801,0.44708019,0.13549897,0.68569332,0.63697672,0.58923315,0.37016789,0.61469685,0.57034429,0.59299202,0.37841558,0.70507614,0.67906906,0.62079047,0.38221057,0.75206511,0.69056721,0.67743129,0.28883664,0.70743048,0.72131161,0.73504337,0.35397327,0.72868204,0.74776771,0.69410964,0.30731822
bL3_2,0.51719041,0.42179761,0.41040011,0.70436316,0.40612011,0.41838981,0.37404735,0.31657175,0.35269215,0.38464434,0.48927278,0.54053526,0.56650724,0.56385345,0.55469198,0.43906071,0.43194593,0.44391222,0.50863986,0.37980991,0.30077264,0.35703235,0.41249166,0.41114978,0.42752912,0.46793825,0.55423812,0.70039958,0.47222573,0.55434399,0.64601545,0.55433617,0.54438222,0.57806331,0.59514865,0.64709174,0.61175339,0.56007869,0.46163106,0.42367008,0.37193712,0.36488923,0.41250507,0,0.19480998,0.1997171,0.49543763,0.52413579,0.40839738,0.32626067,0.46907919,0.4575277,0.40471812,0.40733045,0.41743786,0.53444288,0.44626356,0.41278111,0.50428995,0.60374192,0.51729689,0.50677928,0.54244806,0.53301311,0.55367119,0.56645314,0.55039743,0.51468577,0.52468965,0.46465469,0.51573068
bL3_4,0.54453704,0.46659521,0.42259638,0.67012659,0.28926406,0.38574246,0.31171925,0.20983574,0.2561984,0.2950942,0.54725299,0.47071394,0.47494055,0.49080073,0.55571179,0.38728703,0.38239672,0.38842652,0.52916993,0.36446869,0.22592413,0.3295944,0.42084729,0.46271381,0.45550499,0.46596692,0.59448913,0.72548783,0.51493254,0.5607676,0.65443183,0.53928154,0.55042039,0.57923001,0.63201841,0.57273257,0.54431812,0.47881152,0.47579692,0.43076938,0.37715484,0.32608233,0.44396801,0.19480998,0,0.06709638,0.52454929,0.60398206,0.49121646,0.3536684,0.4494205,0.45740487,0.40155496,0.4333136,0.41041693,0.51319682,0.41748568,0.38655104,0.45482926,0.64060702,0.5339581,0.51845649,0.56298941,0.54894577,0.56544903,0.58138906,0.5523825,0.50987679,0.52844781,0.47356462,0.50734065
bL3_6,0.54395218,0.46601035,0.4163896,0.69693284,0.26049796,0.37796365,0.29695782,0.18270166,0.24136925,0.28971507,0.56556346,0.43001294,0.46982289,0.47904858,0.53882673,0.3421155,0.36916065,0.38870614,0.51615248,0.35786674,0.21586433,0.32527256,0.40742008,0.45161327,0.44481421,0.47731289,0.61319147,0.71929706,0.47824245,0.54611425,0.643677,0.50721961,0.51273655,0.54541379,0.6511305,0.58722106,0.55880661,0.49330002,0.50219342,0.39757347,0.31835275,0.26769,0.44708019,0.1997171,0.06709638,0,0.53012557,0.57680883,0.46404323,0.32407963,0.43520782,0.47786151,0.4220116,0.44888006,0.40669777,0.53878637,0.44348499,0.41255036,0.46825393,0.60956975,0.49937958,0.48480009,0.5821015,0.51782926,0.53433252,0.55027255,0.56762699,0.51003045,0.52940981,0.46577239,0.52258513
