,aL1_2,aL1_4,aL1_6,aL1_h,aL2_2,aL2_4,aL2_6,aL3_2,aL3_4,aL3_6,aL3_h,aM1_2,aM1_4,aM1_6,aM1_h,aM2_2,aM2_4,aM2_6,aM2_h,aM3_2,aM3_4,aM3_6,aM3_h,aS1_2,aS1_4,aS1_6,aS1_h,aS2_2,aS2_4,aS2_6,aS2_h,aS3_2,aS3_4,aS3_6,aS3_h,bL1_2,bL1_4,bL1_6,bL1_h,bL2_2,bL2_4,bL2_6,bL2_h,bL3_2,bL3_4,bL3_6,bL3_h,bM1_2,bM1_4,bM1_6,bM1_h,bM2_2,bM2_4,bM2_6,bM2_h,bM3_2,bM3_4,bM3_6,bM3_h,bS1_2,bS1_4,bS1_6,bS1_h,bS2_2,bS2_4,bS2_6,bS2_h,bS3_2,bS3_4,bS3_6,bS3_h
bL3_h,0.67752463,0.60430512,0.57731115,0.29839413,0.69040084,0.66554242,0.63576711,0.59812486,0.61102514,0.61654891,0.38693413,0.84275804,0.84556241,0.84190193,0.41643824,0.75509907,0.74002219,0.72472852,0.51596708,0.72503523,0.65200319,0.69652508,0.56956767,0.75699689,0.75477208,0.75616738,0.40497959,0.82175999,0.75383901,0.75839283,0.49012924,0.77276489,0.77645937,0.80257266,0.33286775,0.73938596,0.6894848,0.66670171,0.36655988,0.71633247,0.68749342,0.68445163,0.13549897,0.49543763,0.52454929,0.53012557,0,0.7581421,0.74488205,0.69754901,0.4616151,0.70855923,0.6836201,0.71791724,0.46872231,0.77797913,0.75829037,0.69653848,0.4687075,0.81645491,0.76295808,0.7542387,0.38882115,0.78047162,0.78635169,0.80008344,0.45314358,0.78032512,0.79321521,0.76715079,0.40730273
bM1_2,0.78983286,0.77273303,0.77931431,0.90577912,0.70983626,0.76097273,0.73532106,0.62894251,0.6736893,0.69767424,0.79005778,0.74350391,0.76947589,0.76788104,0.57838568,0.64357823,0.62710881,0.64280066,0.58647284,0.66222661,0.63575422,0.65346499,0.57125877,0.57204349,0.55050178,0.5474055,0.68508232,0.65795398,0.5119837,0.60837991,0.6255985,0.63423197,0.63469927,0.68128576,0.76216956,0.69284497,0.7039464,0.71044675,0.76652909,0.56915629,0.51632281,0.51914347,0.68569332,0.52413579,0.60398206,0.57680883,0.7581421,0,0.13352808,0.26809267,0.44954984,0.535958,0.58302323,0.60442346,0.45880264,0.7253317,0.65661894,0.66668036,0.48375418,0.45128263,0.53806277,0.53597572,0.67775306,0.64225949,0.64442818,0.65774778,0.61506891,0.62540138,0.62472434,0.63454011,0.58330205
bM1_4,0.70143605,0.67878658,0.68501963,0.89713705,0.61692806,0.66608702,0.64043536,0.53702962,0.58177641,0.60576134,0.77950301,0.66127577,0.68724775,0.68459396,0.5369815,0.55004396,0.53831443,0.54478614,0.53972593,0.54269075,0.50524859,0.51993691,0.47934587,0.53266618,0.5102414,0.50574982,0.64556992,0.6193116,0.49584947,0.60623647,0.62472849,0.62394983,0.63572976,0.67744295,0.72265716,0.65500107,0.66656411,0.66068695,0.75597432,0.49861528,0.44328902,0.45142019,0.63697672,0.40839738,0.49121646,0.46404323,0.74488205,0.13352808,0,0.15277961,0.39799834,0.47036766,0.49851452,0.53243242,0.38063652,0.61927805,0.5531131,0.55094196,0.42814714,0.45352051,0.50165826,0.49957121,0.63824066,0.62436064,0.64501873,0.65780068,0.57555652,0.58588898,0.58786077,0.5942629,0.54378965
bM1_6,0.64502215,0.61006086,0.61746157,0.8731745,0.48521402,0.56829482,0.53755572,0.41707867,0.47585863,0.49984357,0.73309848,0.54309242,0.57157524,0.56875436,0.50334481,0.42593796,0.42810006,0.44541916,0.49542965,0.4509512,0.37493496,0.43121177,0.41957608,0.47993646,0.46475122,0.46165494,0.60633743,0.57997882,0.43672996,0.55879902,0.57595228,0.56483032,0.5773074,0.63170488,0.68727572,0.63110441,0.64959136,0.62130821,0.70823075,0.41372233,0.35242034,0.32008897,0.58923315,0.32626067,0.3536684,0.32407963,0.69754901,0.26809267,0.15277961,0,0.35025477,0.4581897,0.46214299,0.50323987,0.33874975,0.60418622,0.51345908,0.5114555,0.37949158,0.4368122,0.47274414,0.46065184,0.60600997,0.57259296,0.58719972,0.60214501,0.53259255,0.56731816,0.55947104,0.54878955,0.50246034
bM1_h,0.74302597,0.64951954,0.61229423,0.63424699,0.60449776,0.61689866,0.55601104,0.50139067,0.53564813,0.53669653,0.47880533,0.66907409,0.67187845,0.66271353,0.23975768,0.62563574,0.60813237,0.58285677,0.26071984,0.55786886,0.44165477,0.48750927,0.33099958,0.52873824,0.46773287,0.42535638,0.38838533,0.56610142,0.50690742,0.55888317,0.34203873,0.60389319,0.61114527,0.65264218,0.45362124,0.53027988,0.54138131,0.53930757,0.4970407,0.56459988,0.51664371,0.50766064,0.37016789,0.46907919,0.4494205,0.43520782,0.4616151,0.44954984,0.39799834,0.35025477,0,0.44223563,0.45061165,0.46567445,0.10174604,0.61857716,0.57037947,0.50981816,0.12879604,0.48960966,0.53672734,0.50718344,0.33805065,0.58861804,0.61346787,0.62719963,0.25731387,0.62269141,0.64177707,0.56393935,0.25538017
bM2_2,0.76000328,0.73873416,0.73756276,0.88049067,0.58129055,0.60146691,0.57931542,0.56818609,0.60108527,0.63201382,0.76026308,0.56810705,0.58002296,0.57866039,0.51320643,0.64295159,0.61467513,0.59664841,0.52756917,0.43736235,0.42251033,0.37700938,0.47885383,0.39472374,0.31402,0.36707761,0.55922651,0.69565853,0.50415602,0.55445117,0.61502639,0.60508888,0.62545073,0.66694764,0.5311421,0.53115467,0.5536311,0.54704593,0.71277427,0.45008579,0.40624802,0.42055921,0.61469685,0.4575277,0.45740487,0.47786151,0.70855923,0.535958,0.47036766,0.4581897,0.44223563,0,0.05882545,0.10245653,0.45466081,0.21273204,0.17840128,0.21413997,0.54441621,0.45027094,0.38773613,0.37745677,0.45217847,0.51415117,0.539001,0.55273276,0.47133308,0.19206168,0.24108947,0.24850584,0.45439299
bM2_4,0.73216057,0.67990871,0.67873731,0.87498946,0.52544064,0.54264146,0.52048998,0.51233618,0.54225982,0.57318838,0.72379626,0.52055913,0.5294995,0.52813693,0.52360435,0.58710167,0.5646406,0.54363834,0.53215172,0.38435229,0.36368489,0.31818393,0.45556934,0.36348904,0.32290117,0.38452895,0.5488109,0.71013434,0.52160736,0.55334647,0.63002066,0.57385418,0.59421603,0.63571294,0.49745033,0.56764185,0.59375512,0.5543767,0.67630745,0.43209541,0.39249819,0.39516486,0.57034429,0.40471812,0.40155496,0.4220116,0.6836201,0.58302323,0.49851452,0.46214299,0.45061165,0.05882545,0,0.06077912,0.4622837,0.20517396,0.15764697,0.18279704,0.53692361,0.50444934,0.41496397,0.40444636,0.44856259,0.48540307,0.51025291,0.52398466,0.48632735,0.19864229,0.24518347,0.22142994,0.46938726
bM2_6,0.75077747,0.70165981,0.67658627,0.90928659,0.56027234,0.55362409,0.51862036,0.5065789,0.53284377,0.55463761,0.70848509,0.48839516,0.48943329,0.48514366,0.50532016,0.57462972,0.52968294,0.5138125,0.51838065,0.34855424,0.34328301,0.29478191,0.44791271,0.3264997,0.29041045,0.35064294,0.51767959,0.66584017,0.4900497,0.52033031,0.59888935,0.58368337,0.55956767,0.5987236,0.47838702,0.59409026,0.61716321,0.58838481,0.70997292,0.48324241,0.43777427,0.43883703,0.59299202,0.40733045,0.4333136,0.44888006,0.71791724,0.60442346,0.53243242,0.50323987,0.46567445,0.10245653,0.06077912,0,0.45569088,0.20936639,0.16637514,0.20866166,0.56496584,0.52206788,0.43562284,0.42510524,0.41439095,0.44694635,0.46760443,0.48038638,0.47408102,0.2136419,0.26609967,0.21990329,0.46263705
bM2_h,0.72489888,0.63123926,0.56977972,0.63418125,0.62381122,0.62389857,0.55501151,0.44348438,0.46501104,0.46256756,0.44854446,0.65819241,0.66099678,0.65183185,0.25801788,0.58184559,0.56434222,0.53906662,0.23110765,0.49308129,0.41155249,0.45956691,0.29639613,0.5312365,0.47575156,0.43224615,0.36964542,0.53199487,0.5011748,0.54317041,0.34591125,0.65139187,0.63544806,0.66156135,0.45131811,0.53896557,0.550067,0.54799326,0.46845904,0.59408575,0.54612958,0.53984898,0.37841558,0.41743786,0.41041693,0.40669777,0.46872231,0.45880264,0.38063652,0.33874975,0.10174604,0.45466081,0.4622837,0.45569088,0,0.63100234,0.59075554,0.52917273,0.13597059,0.5270502,0.56337942,0.5456367,0.34308663,0.62049055,0.64534038,0.65907214,0.28906889,0.64307126,0.66215692,0.5960038,0.28633018
bM3_2,0.74677986,0.73414052,0.73547498,0.93982308,0.60913717,0.60495438,0.60731491,0.59808919,0.62475465,0.63010404,0.87699475,0.5007785,0.5104257,0.50594003,0.68101837,0.66669483,0.62466951,0.61595001,0.7039107,0.43875667,0.45385559,0.39061653,0.60958453,0.51472359,0.48308087,0.54331335,0.68651367,0.83467425,0.68272012,0.71300073,0.76772343,0.66553604,0.6827948,0.7213758,0.61311812,0.68292668,0.70368338,0.67511268,0.78798313,0.53523553,0.50101683,0.51286457,0.70507614,0.53444288,0.51319682,0.53878637,0.77797913,0.7253317,0.61927805,0.60418622,0.61857716,0.21273204,0.20517396,0.20936639,0.63100234,0,0.10766229,0.15186052,0.69681353,0.55439671,0.46795168,0.46743931,0.58322502,0.490098,0.50982256,0.52079744,0.62403012,0.1829412,0.22088242,0.24163537,0.61768402
bM3_4,0.69671118,0.67995314,0.68245527,0.9101162,0.50204519,0.55968157,0.52767789,0.4904269,0.54110012,0.57208012,0.8513178,0.41580509,0.44240603,0.43890381,0.63026033,0.56022892,0.51955503,0.53091855,0.66074388,0.38156157,0.38756301,0.35119752,0.54711178,0.44819123,0.40237936,0.46874585,0.66499041,0.81812833,0.61363996,0.6534081,0.74862969,0.57952072,0.5969863,0.63790829,0.57708923,0.67301682,0.69608976,0.65707703,0.76709917,0.47155293,0.42900717,0.42025587,0.67906906,0.44626356,0.41748568,0.44348499,0.75829037,0.65661894,0.5531131,0.51345908,0.57037947,0.17840128,0.15764697,0.16637514,0.59075554,0.10766229,0,0.07896778,0.64605549,0.50616683,0.41972179,0.39226903,0.55107352,0.4098364,0.43037114,0.44374519,0.58800123,0.23086615,0.26884144,0.25095406,0.57106114
bM3_6,0.69284131,0.63338746,0.62986453,0.8513526,0.484374,0.52687022,0.4760049,0.46068285,0.49197494,0.52295494,0.78956591,0.4291349,0.45006671,0.44171244,0.62508378,0.56520151,0.54926816,0.53455955,0.6077088,0.39019461,0.33843783,0.34013737,0.51112746,0.46408708,0.42050003,0.48186143,0.66524352,0.81583363,0.63208362,0.66236422,0.74888281,0.59915496,0.61641371,0.65499472,0.57853292,0.61051484,0.63358778,0.59632902,0.70534728,0.48469249,0.44801764,0.43907255,0.62079047,0.41278111,0.38655104,0.41255036,0.69653848,0.66668036,0.55094196,0.5114555,0.50981816,0.21413997,0.18279704,0.20866166,0.52917273,0.15186052,0.07896778,0,0.58566325,0.51174011,0.42529508,0.39903289,0.55132664,0.41480256,0.4346664,0.44744835,0.58944492,0.29551967,0.33346089,0.31466062,0.57250484
bM3_h,0.70947273,0.6193311,0.56450741,0.55681796,0.6192437,0.64271269,0.58118515,0.47206448,0.45545639,0.45088813,0.41195096,0.7011726,0.70397697,0.69481204,0.30102695,0.60548306,0.60721319,0.59191951,0.30903684,0.6002568,0.51849552,0.56674242,0.33937632,0.65164849,0.59064312,0.54826663,0.45475826,0.62235982,0.59140362,0.61309877,0.36940974,0.6882209,0.68824998,0.69814765,0.50194338,0.48667845,0.49569245,0.48665142,0.42167398,0.59478962,0.57083721,0.55814754,0.38221057,0.50428995,0.45482926,0.46825393,0.4687075,0.48375418,0.42814714,0.37949158,0.12879604,0.54441621,0.53692361,0.56496584,0.13597059,0.69681353,0.64605549,0.58566325,0,0.55626151,0.64960183,0.61980133,0.42575983,0.69285362,0.69797889,0.70073577,0.34121783,0.7355659,0.75465156,0.67953279,0.36337072
bS1_2,0.84760805,0.82811295,0.82694154,0.9143693,0.64858136,0.6908457,0.66869421,0.67432347,0.70754491,0.73874074,0.81699803,0.54138999,0.59006195,0.58400556,0.60143209,0.70276482,0.71149138,0.73708903,0.63239674,0.7195735,0.66624187,0.63906924,0.58867406,0.50886042,0.44325768,0.45582008,0.69300387,0.70211598,0.48814516,0.59940792,0.58931509,0.58490653,0.59332393,0.63930193,0.77454771,0.60280524,0.62126637,0.63435735,0.79263108,0.44218418,0.45756879,0.47062551,0.75206511,0.60374192,0.64060702,0.60956975,0.81645491,0.45128263,0.45352051,0.4368122,0.48960966,0.45027094,0.50444934,0.52206788,0.5270502,0.55439671,0.50616683,0.51174011,0.55626151,0,0.14767285,0.18870712,0.65329743,0.39477626,0.3953083,0.39923307,0.57824034,0.48529348,0.51694909,0.54723314,0.54499312
bS1_4,0.81717737,0.79768226,0.79651086,0.90620141,0.61815068,0.66041501,0.63826353,0.60677258,0.66003338,0.69096193,0.80883014,0.51095931,0.57383466,0.56480655,0.57466508,0.66516058,0.65614513,0.66108897,0.59697926,0.60269778,0.54936615,0.53117543,0.56465842,0.3919847,0.34221026,0.39967337,0.59138914,0.70274277,0.41673143,0.53258604,0.62145981,0.49171761,0.49552644,0.58733108,0.67678404,0.63032807,0.65754708,0.62927596,0.75503727,0.39306474,0.34679645,0.36328233,0.69056721,0.51729689,0.5339581,0.49937958,0.76295808,0.53806277,0.50165826,0.47274414,0.53672734,0.38773613,0.41496397,0.43562284,0.56337942,0.46795168,0.41972179,0.42529508,0.64960183,0.14767285,0,0.04440718,0.56143249,0.30112731,0.31303734,0.33014527,0.54627563,0.37576006,0.40256452,0.43445134,0.49975342
bS1_6,0.78109455,0.76159944,0.76042804,0.88060897,0.58206786,0.64332626,0.60641255,0.57230942,0.6316749,0.66047867,0.79863298,0.49387056,0.56382942,0.54929686,0.54486457,0.62994604,0.62714582,0.63208966,0.57682889,0.58509666,0.52830025,0.52065783,0.55077359,0.37438358,0.31057775,0.36916978,0.57972786,0.68305459,0.39755562,0.51341022,0.61065337,0.45563478,0.45371869,0.55124825,0.64855823,0.62824102,0.65546002,0.61861482,0.7463179,0.38862566,0.33663856,0.33768391,0.67743129,0.50677928,0.51845649,0.48480009,0.7542387,0.53597572,0.49957121,0.46065184,0.50718344,0.37745677,0.40444636,0.42510524,0.5456367,0.46743931,0.39226903,0.39903289,0.61980133,0.18870712,0.04440718,0,0.53705591,0.26640307,0.2783131,0.29542103,0.51596275,0.37524769,0.40205215,0.40493966,0.46962358
bS1_h,0.82491663,0.77837771,0.74608559,0.53844463,0.75365015,0.7541529,0.71934763,0.61672456,0.64666538,0.6480505,0.53890837,0.7343092,0.73926023,0.73075737,0.2205243,0.69149005,0.6478947,0.63126248,0.36076009,0.47890407,0.48564273,0.47403956,0.42080012,0.41721239,0.38806212,0.43516015,0.13383472,0.63268274,0.50849231,0.53744301,0.27427925,0.64281109,0.61280062,0.63891391,0.13944016,0.72190218,0.73252133,0.70127741,0.60091911,0.66888257,0.61766373,0.60917167,0.28883664,0.54244806,0.56298941,0.5821015,0.38882115,0.67775306,0.63824066,0.60600997,0.33805065,0.45217847,0.44856259,0.41439095,0.34308663,0.58322502,0.55107352,0.55132664,0.42575983,0.65329743,0.56143249,0.53705591,0,0.59784311,0.62269295,0.6364247,0.14023353,0.54089082,0.55997648,0.4871895,0.12315619
bS2_2,0.81049705,0.76635667,0.74448545,0.91349374,0.58430029,0.64848608,0.60078458,0.50404654,0.56068143,0.59991312,0.74625784,0.41946141,0.45759731,0.4449776,0.59286332,0.5719717,0.49551532,0.55037552,0.55853204,0.5133701,0.48728814,0.46839917,0.53247673,0.36229794,0.33158708,0.40153279,0.58127206,0.70406393,0.39590626,0.51176087,0.60360088,0.44892116,0.35655044,0.44264086,0.67083431,0.73472771,0.76174379,0.73025553,0.76498523,0.36531693,0.3648631,0.39061627,0.70743048,0.53301311,0.54894577,0.51782926,0.78047162,0.64225949,0.62436064,0.57259296,0.58861804,0.51415117,0.48540307,0.44694635,0.62049055,0.490098,0.4098364,0.41480256,0.69285362,0.39477626,0.30112731,0.26640307,0.59784311,0,0.11659099,0.16838062,0.59520391,0.44987347,0.45877876,0.40569495,0.56101758
bS2_4,0.69943281,0.65529243,0.63342121,0.91861902,0.57243278,0.64107302,0.59337152,0.50082523,0.55746012,0.59561368,0.76575162,0.4162401,0.4516517,0.43774078,0.56866831,0.52524132,0.48805375,0.52951369,0.59601613,0.54280395,0.50086216,0.48071067,0.55197052,0.38897796,0.35875428,0.41685913,0.62020959,0.73074394,0.42224191,0.51871632,0.61474809,0.35383575,0.24685164,0.34594514,0.67381816,0.73545831,0.76267731,0.72584845,0.77011051,0.43946827,0.40748229,0.39289141,0.72131161,0.55367119,0.56544903,0.53433252,0.78635169,0.64442818,0.64501873,0.58719972,0.61346787,0.539001,0.51025291,0.46760443,0.64534038,0.50982256,0.43037114,0.4346664,0.69797889,0.3953083,0.31303734,0.2783131,0.62269295,0.11659099,0,0.0551658,0.58377534,0.46444127,0.47186637,0.41847681,0.58348978
bS2_6,0.67204112,0.64841302,0.62604151,0.9213759,0.57739794,0.64508837,0.59738687,0.5168819,0.57123912,0.60221911,0.79177029,0.42673046,0.47254503,0.46485282,0.58240007,0.52982028,0.52409748,0.54647338,0.63300967,0.58200577,0.53845549,0.51865834,0.57798918,0.42722997,0.3979561,0.45515283,0.65720313,0.76899595,0.46144373,0.55553936,0.64297503,0.31460998,0.23088766,0.32378519,0.68754991,0.73726538,0.76448438,0.72860533,0.77286739,0.45922951,0.43821842,0.42362753,0.73504337,0.56645314,0.58138906,0.55027255,0.80008344,0.65774778,0.65780068,0.60214501,0.62719963,0.55273276,0.52398466,0.48038638,0.65907214,0.52079744,0.44374519,0.44744835,0.70073577,0.39923307,0.33014527,0.29542103,0.6364247,0.16838062,0.0551658,0,0.5975071,0.4803813,0.4878064,0.43441684,0.59722153
bS2_h,0.77563892,0.72910001,0.69353458,0.59654847,0.7195713,0.73899604,0.70268447,0.63235706,0.66661451,0.66766291,0.56164142,0.74188539,0.74683642,0.73833356,0.10796146,0.6649454,0.63525088,0.61037195,0.33849757,0.54408189,0.49984957,0.50657473,0.4325079,0.46779428,0.40678891,0.38475531,0.20210944,0.57404901,0.50232194,0.5542977,0.22289362,0.58116043,0.57388302,0.6072426,0.21429003,0.67090656,0.68661566,0.67564432,0.60091911,0.6537257,0.60250687,0.59401481,0.35397327,0.55039743,0.5523825,0.56762699,0.45314358,0.61506891,0.57555652,0.53259255,0.25731387,0.47133308,0.48632735,0.47408102,0.28906889,0.62403012,0.58800123,0.58944492,0.34121783,0.57824034,0.54627563,0.51596275,0.14023353,0.59520391,0.58377534,0.5975071,0,0.57096264,0.5900483,0.5037453,0.09399771
bS3_2,0.82451967,0.80502456,0.80385316,0.92356845,0.62549298,0.66775731,0.64560582,0.61818706,0.66955995,0.69916155,0.86280297,0.59930703,0.6350756,0.63140338,0.66062914,0.67250288,0.65614513,0.66108897,0.68294333,0.49307818,0.48880073,0.4449394,0.65062248,0.3577314,0.33264161,0.43467853,0.63717766,0.77324559,0.52257005,0.60852536,0.70742387,0.53212209,0.55086927,0.59467337,0.56763316,0.6989251,0.7261441,0.69787299,0.77240431,0.49316219,0.45417741,0.46602515,0.72868204,0.51468577,0.50987679,0.51003045,0.78032512,0.62540138,0.58588898,0.56731816,0.62269141,0.19206168,0.19864229,0.2136419,0.64307126,0.1829412,0.23086615,0.29551967,0.7355659,0.48529348,0.37576006,0.37524769,0.54089082,0.44987347,0.46444127,0.4803813,0.57096264,0,0.05732057,0.10099264,0.5556572
bS3_4,0.82481336,0.80531825,0.80550117,0.92607578,0.62578667,0.66849166,0.6512502,0.61996093,0.67133383,0.70093543,0.88188864,0.63902212,0.67370816,0.6693446,0.6797148,0.67279657,0.65614513,0.66119579,0.70202899,0.49485206,0.50306357,0.46135353,0.66970815,0.35053252,0.35663933,0.4525777,0.65626332,0.79114476,0.51121406,0.62642453,0.72650954,0.50337985,0.52064684,0.59496707,0.58671882,0.71701856,0.74374958,0.71547847,0.78988817,0.49662281,0.44304065,0.45488839,0.74776771,0.52468965,0.52844781,0.52940981,0.79321521,0.62472434,0.58786077,0.55947104,0.64177707,0.24108947,0.24518347,0.26609967,0.66215692,0.22088242,0.26884144,0.33346089,0.75465156,0.51694909,0.40256452,0.40205215,0.55997648,0.45877876,0.47186637,0.4878064,0.5900483,0.05732057,0,0.0911028,0.57474287
bS3_6,0.78101501,0.73095811,0.71535033,0.90017291,0.5541141,0.62092406,0.57850676,0.53836327,0.59584085,0.62331767,0.82068165,0.58863745,0.62686556,0.6166918,0.5934118,0.58169377,0.5685844,0.57458703,0.63295584,0.4306288,0.43313589,0.40131857,0.60690054,0.30187,0.29497336,0.3824637,0.59410459,0.72756772,0.46765854,0.56284749,0.66678033,0.44665411,0.45000962,0.50386426,0.50041582,0.73180911,0.74935217,0.70785635,0.7516644,0.5320517,0.46265186,0.44448579,0.69410964,0.46465469,0.47356462,0.46577239,0.76715079,0.63454011,0.5942629,0.54878955,0.56393935,0.24850584,0.22142994,0.21990329,0.5960038,0.24163537,0.25095406,0.31466062,0.67953279,0.54723314,0.43445134,0.40493966,0.4871895,0.40569495,0.41847681,0.43441684,0.5037453,0.10099264,0.0911028,0,0.49620262
bS3_h,0.80601592,0.75595902,0.73495483,0.55117294,0.68621782,0.6959879,0.66165837,0.59281132,0.62706877,0.63482243,0.56713753,0.7008593,0.70581033,0.69730746,0.15360125,0.66614018,0.62405264,0.60591261,0.34399368,0.53575292,0.49004025,0.50613328,0.3913275,0.45798496,0.3969796,0.35686027,0.16648907,0.59608942,0.4627762,0.51475195,0.23768593,0.57537876,0.57359745,0.60843739,0.23550246,0.66942621,0.68513531,0.67407692,0.60091911,0.6072035,0.55598466,0.5474926,0.30731822,0.51573068,0.50734065,0.52258513,0.40730273,0.58330205,0.54378965,0.50246034,0.25538017,0.45439299,0.46938726,0.46263705,0.28633018,0.61768402,0.57106114,0.57250484,0.36337072,0.54499312,0.49975342,0.46962358,0.12315619,0.56101758,0.58348978,0.59722153,0.09399771,0.5556572,0.57474287,0.49620262,0