Sample_ID,aL1_2,aL1_4,aL1_6,aL1_h,aL2_2,aL2_4,aL2_6,aL3_2,aL3_4,aL3_6,aL3_h,aM1_2,aM1_4,aM1_6,aM1_h,aM2_2,aM2_4,aM2_6,aM2_h,aM3_2,aM3_4,aM3_6,aM3_h,aS1_2,aS1_4,aS1_6,aS1_h,aS2_2,aS2_4,aS2_6,aS2_h,aS3_2,aS3_4,aS3_6,aS3_h,bL1_2,bL1_4,bL1_6,bL1_h,bL2_2,bL2_4,bL2_6,bL2_h,bL3_2,bL3_4,bL3_6,bL3_h,bM1_2,bM1_4,bM1_6,bM1_h,bM2_2,bM2_4,bM2_6,bM2_h,bM3_2,bM3_4,bM3_6,bM3_h,bS1_2,bS1_4,bS1_6,bS1_h,bS2_2,bS2_4,bS2_6,bS2_h,bS3_2,bS3_4,bS3_6,bS3_h
Community,L,L,L,L,L,L,L,L,L,L,L,M,M,M,M,M,M,M,M,M,M,M,M,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,L,L,L,L,L,L,L,L,L,M,M,M,M,M,M,M,M,M,M,M,M,S,S,S,S,S,S,S,S,S,S,S,S
Treatment,2,4,6,homog,2,4,6,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog,2,4,6,homog
Replicate,1,1,1,1,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3
Buffer,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Vesterinen,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova,Ivanova
Shelfordella_lateralis,1567,2473,2599,52,3828,1133,2798,2495,3275,2881,1076,1364,2978,2180,911,5387,2365,1881,1508,1089,3101,629,1808,2099,2040,2907,773,0,2098,2290,480,2486,5295,2059,480,547,229,900,678,3445,2958,5257,1016,872,1373,3627,308,2124,2004,3607,1680,523,743,291,1532,131,726,960,1187,515,2564,1766,751,2930,3541,1393,917,791,1081,1626,1675
Gryllodes_sigillatus,514,871,1389,71,4405,1984,4109,1350,1869,1841,477,3100,7582,5763,1476,1076,532,496,1601,685,3061,1068,1318,1381,2298,3705,458,0,858,1240,443,1347,2446,1007,408,1615,755,2237,799,1869,1788,3362,469,240,854,2098,408,104,148,340,2438,907,1297,566,1067,427,1601,2522,1183,1375,6004,3635,833,3139,4836,1992,1333,1024,978,1463,1538
Gryllus_bimaculatus,526,975,1217,154,544,187,419,1590,2007,2194,809,103,225,154,1809,2282,1608,1700,2645,2286,5247,1329,1206,2319,2450,3585,1861,242,1169,1680,528,1317,2305,927,2960,210,109,389,1486,541,1063,2054,1630,777,1486,2921,1068,1074,1365,2311,2666,1487,2135,883,2497,584,1795,2385,1689,158,1561,1055,2317,1032,1341,503,2594,1986,2485,3682,2523
Drosophila_yakuba,54,265,484,9,208,114,312,389,606,621,942,212,602,470,231,630,439,334,1196,393,697,165,616,306,371,559,467,129,591,1072,348,109,600,507,162,0,0,22,130,0,11,74,148,62,93,241,56,0,0,95,246,6,44,42,268,0,15,25,190,0,0,15,183,254,348,119,186,0,0,101,194
Drosophila_hydei,495,657,785,17,123,0,51,44,44,57,6,0,0,15,169,332,114,123,32,0,27,0,7,0,21,34,4,0,0,0,0,419,924,310,83,0,0,0,0,0,0,27,10,0,7,15,0,0,0,0,59,0,0,0,17,0,13,18,76,0,0,22,20,36,262,154,123,0,0,34,44
Encarsia_formosa,6,0,0,0,28,0,0,4,0,0,0,4,23,9,0,104,25,33,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,18,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphidius_colemani,5884,3445,3244,5,1583,2802,4279,804,1911,2238,132,1456,5492,4153,666,3107,3090,3209,1248,366,1056,710,1066,0,0,0,0,0,0,0,0,0,0,0,0,69,25,79,29,24,51,141,36,99,132,364,6,237,401,527,244,32,72,39,584,0,72,106,377,0,0,0,0,0,0,0,0,0,0,0,0
Macrolophus_pygmaeus,470,724,857,11,1108,319,710,684,936,914,150,334,722,542,91,1213,489,408,124,405,1038,215,345,0,0,0,0,0,0,0,0,0,0,0,0,103,51,195,84,274,428,838,196,128,280,745,80,78,203,536,192,46,83,32,189,30,122,163,314,0,0,0,0,0,0,0,0,0,0,0,0
Dacnusa_sibirica,195,962,1042,0,385,102,185,166,243,419,0,83,67,59,22,206,20,47,24,82,157,23,17,288,191,639,13,65,204,673,20,482,439,406,6,10,0,27,0,28,46,104,0,0,32,99,0,0,0,42,0,0,3,0,0,0,0,0,3,0,59,49,0,10,34,12,25,17,20,38,24
Drosophila_melanogaster,146,320,438,69,197,124,324,93,149,216,1094,15,53,90,1337,193,115,171,1828,85,499,127,962,422,776,1895,627,208,724,1037,660,69,135,64,368,651,329,812,336,356,406,756,481,163,191,475,183,3322,2473,2916,3068,285,260,106,2312,0,4,8,2790,324,661,454,604,13,13,0,1339,90,58,91,1391
Cryptolaemus_montrouzieri,67,429,840,522,308,114,470,483,1141,1417,1259,7,31,26,25,211,0,32,297,10,414,33,160,0,0,0,0,0,0,0,0,0,0,0,0,1073,514,1499,1272,43,33,58,215,72,289,564,221,27,50,142,393,15,30,0,453,0,0,115,725,0,0,0,0,0,0,0,0,0,0,0,0
Stick_insect,3361,5129,5383,839,2282,1305,2372,954,1698,1622,6234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,252,888,4561,187,141,214,1863,864,957,2052,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermetia_illucens,0,20,15,1559,35,0,0,94,111,95,3690,46,54,24,3161,31,0,8,2512,30,56,0,1364,0,18,12,2667,0,22,20,1324,46,37,0,3311,0,0,16,1592,233,166,254,4252,0,41,136,3449,22,0,37,2599,38,53,0,1987,0,9,0,2416,23,169,107,2595,36,16,3,2888,12,9,13,3764
Total_seq,13285,16270,18293,3308,15034,8184,16029,9150,13990,14515,15869,6724,17829,13485,9898,14772,8797,8442,13015,5431,15371,4299,8869,6815,8165,13336,6870,644,5666,8012,3803,6275,12181,5280,7778,4362,2264,7064,10967,7000,7091,13152,10316,3277,5744,13355,7473,6988,6644,10561,13585,3339,4720,1959,10906,1172,4357,6302,10950,2395,11018,7103,7303,7450,10391,4176,9405,3920,4631,7048,11153