Sample_ID,0_A_4h,0_B_4h,0_C_4h,0_D_4h,0_F_4h,0_G_4h,0_H_4h,0_I_4h,0_J_4h,0_Blank,1_A_4h,1_B_4h,1_C_4h,2_A_4h,2_B_4h,2_C_4h,3_A_4h,3_B_4h,3_C_4h,4_A_4h,4_B_4h,4_C_4h,5_A_4h,5_B_4h,5_C_4h,6_A_4h,6_B_4h,6_C_4h,7_A_4h,7_B_4h,7_C_4h,8_A_4h,8_B_4h,8_C_4h,9_A_4h,9_B_4h,9_C_4h,10_A_4h,10_B_4h,10_C_4h,11_A_4h,11_B_4h,11_C_4h,12_A_4h,12_B_4h,12_C_4h,13_A_4h,13_B_4h,13_C_4h,14_A_4h,14_B_4h,14_C_4h,15_A_4h,15_B_4h,15_C_4h,16_A_4h,16_B_4h,16_C_4h,E.Blank,E.PCR.Blank,0_A_Homog,0_B_Homog,0_C_Homog,0_D_Homog,0_F_Homog,0_G_Homog,0_H_Homog,0_I_Homog,0_J_Homog,7_A_Homog,7_B_Homog,7_C_Homog,14_A_Homog,14_B_Homog,14_C_Homog,15_A_Homog,15_B_Homog,15_C_Homog,16_A_Homog,16_B_Homog,16_C_Homog,Blank,E.mix.15.16.B,E.mix.15.16.C,E.xx.O
Community,0,0,0,0,0,0,0,0,0,Blank,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,Blank,Blank,0,0,0,0,0,0,0,0,0,7,7,7,14,14,14,15,15,15,16,16,16,Blank,,,
Replicate,A,B,C,D,F,G,H,I,J,A,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,B,C,A,B,C,D,F,G,H,I,J,A,B,C,A,B,C,A,B,C,A,B,C,D,1665,1098,3
Lysis_time/Homogenisation,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,4h,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,homog,4h,1977,438,0
Shelfordella lateralis,252,782,827,929,2333,1598,983,1360,604,0,898,3079,1640,505,518,1542,1122,860,665,773,583,246,835,804,2809,850,2308,282,2404,2475,3025,1174,731,94,911,923,1406,1770,1346,901,790,1720,745,1688,708,1069,544,986,1260,2257,1387,1351,784,1111,1069,1782,647,2734,7,0,1272,1201,1439,1199,622,937,2629,1978,807,154,1510,1159,637,737,508,177,500,527,1544,1174,1187,3,1222,330,0
Gryllus_bimaculatus,767,1258,1885,1457,2642,726,1712,1217,1103,0,380,2785,2887,1014,1309,978,1548,1223,350,1015,2368,321,390,966,518,943,2012,820,1883,1848,1153,402,1552,55,751,432,1074,820,176,1456,899,1872,1416,885,354,809,232,508,1097,673,348,1158,1158,2061,1119,726,1284,1060,0,0,1370,1834,1683,1321,653,1998,818,2525,1246,494,1786,838,866,910,935,631,1124,1077,1577,1673,2036,0,1876,414,0
Gryllodes_sigillatus,2031,829,358,339,1241,1367,757,792,1402,3,200,2259,638,629,1174,1034,1179,223,908,334,642,854,919,496,1019,1359,1523,1219,2001,2114,799,1411,344,56,628,1481,468,1820,950,526,585,1425,651,2449,704,892,728,1634,818,919,1079,1912,530,0,740,780,1094,926,5,0,903,2115,2168,1686,416,1139,1256,902,1450,258,706,566,1035,521,348,309,1138,496,881,1277,660,0,14,51,0
Drosophila_yakuba,95,1357,1175,213,103,152,714,833,371,0,982,263,409,432,133,96,272,19,52,285,341,97,403,170,19,849,95,180,2076,1810,1250,980,1237,2,155,38,321,440,32,305,26,45,120,436,85,194,291,232,590,568,328,358,373,517,91,350,117,244,0,0,386,1186,1628,1282,468,1771,2073,1257,1496,157,515,690,972,458,180,344,567,918,1846,1286,1715,0,0,0,0
D_hydei,17,15,14,37,33,29,55,260,11,0,16,47,85,106,48,79,21,19,159,9,19,30,17,21,20,31,24,0,80,0,130,22,19,0,33,14,211,50,0,171,28,53,37,32,37,125,9,36,43,19,17,30,0,15,20,88,36,15,0,0,15,9,37,30,11,20,81,333,24,4,13,0,20,0,7,5,0,0,6,42,34,0,906,1893,0
Hermetia_illucens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,206,17,178,53,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,22,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,605,1682,2401,866,811,969,0,0,0,0,0,0,0,652,214,0
Stick_insect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,791,214,290,1875,460,0,0,0,0,0,0,265,1513,5052,1374,350,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,1292,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3775,1938,2338,1189,4333,2364,0,0,0,0,206,371,0
Cryptolaemus_montrouzieri,0,0,0,0,0,0,0,0,0,0,135,24,330,0,0,0,292,146,367,798,591,400,373,207,775,570,171,153,248,763,578,199,417,6,0,0,0,0,0,0,0,0,0,93,182,13,0,0,0,0,0,0,0,0,0,139,56,27,0,0,0,0,0,0,0,0,0,0,0,290,160,146,849,376,1816,457,746,944,0,0,0,0,525,333,0
Dacnusa_sibirica,0,0,0,0,0,0,0,0,0,0,0,0,0,41,93,109,0,0,0,185,111,443,134,302,1438,274,234,326,436,2007,2075,1412,182,0,879,112,382,0,0,0,59,17,101,0,0,0,298,360,1178,447,216,326,548,4,40,638,414,235,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,4,4,4,19,124,13,52,11,0,190,86,0
D_melanogaster,0,0,0,0,0,0,0,0,0,0,0,0,0,262,1571,1459,767,115,1235,58,287,268,354,100,567,1013,631,223,716,1303,950,49,85,16,0,0,0,0,0,0,0,0,0,4,271,793,2750,120,1288,207,579,80,1205,326,394,0,0,0,0,0,0,0,0,0,0,0,0,0,3,752,2162,872,324,162,130,63,295,200,200,375,367,0,0,0,0
Aphidoletes_aphidimyza,0,0,0,0,0,0,0,0,0,0,0,0,0,61,259,107,44,125,84,123,145,380,282,255,557,118,124,121,121,510,422,1513,282,0,0,0,0,151,201,151,192,447,205,200,165,116,0,0,0,0,0,0,379,51,99,242,198,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,,,
Encarsia_formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,60,341,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,53,27,36,0,0,0,0,0,0,356,303,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,
Total_seq,3162,4241,4259,2975,6319,3843,4166,4462,3480,3,2595,8457,5989,3324,2986,3651,5051,2705,3510,2604,5575,3311,5787,2506,3903,4887,3870,6253,5446,4240,5532,6008,5362,3886,4747,3817,5341,2944,5117,5335,5490,3502,4034,3870,6962,3469,3758,3360,8043,6182,7115,3502,10203,14350,15447,8671,5199,376,12,0,3946,6345,6955,5518,2159,5845,6776,6995,5002,6067,5837,6012,2710,8532,6676,9339,5917,7235,3179,8722,6656,3,,,