E.0.A	E.0.B	E.0.C	E.0.D	E.0.F	E.0.G	E.0.H	E.0.I	E.0.J	E.0.O	E.1.A	E.1.B	E.1.C	E.10.A	E.10.B	E.10.C	E.11.A	E.11.B	E.11.C	E.12.A	E.12.B	E.12.C	E.13.A	E.13.B	E.13.C	E.14.A	E.14.B	E.14.C	E.15.A	E.15.B	E.15.C	E.16.A	E.16.B	E.16.C	E.2.A	E.2.B	E.2.C	E.3.A	E.3.B	E.3.C	E.4.A	E.4.B	E.4.C	E.5.A	E.5.B	E.5.C	E.6.A	E.6.B	E.6.C	E.7.A	E.7.B	E.7.C	E.8.A	E.8.B	E.8.C	E.9.A	E.9.B	E.9.C	E.Blank	E.Blank.PCR	E.hom.0.A	E.hom.0.B	E.hom.0.C	E.hom.0.D	E.hom.0.F	E.hom.0.G	E.hom.0.H	E.hom.0.I	E.hom.0.J	E.hom.14.A	E.hom.14.B	E.hom.14.C	E.hom.15.A	E.hom.15.B	E.hom.15.C	E.hom.16.A	E.hom.16.B	E.hom.16.C	E.hom.7.A	E.hom.7.B	E.hom.7.C	E.mix.15.16.A	E.mix.15.16.B	E.mix.15.16.C	E.xx.O
Shelfordella_lateralis	252	782	827	929	2333	1598	983	1360	604	0	898	3079	1640	505	518	1542	1122	860	665	773	583	246	835	804	2809	850	2308	282	2404	2475	3025	1174	731	94	911	923	1406	1770	1346	901	790	1720	745	1688	708	1069	544	986	1260	2257	1387	1351	784	1111	1069	1782	647	2734	7	0	1272	1201	1439	1199	622	937	2629	1978	807	154	1510	1159	637	737	508	177	500	527	1544	1174	1187	1500	1665	1098	3
Gryllus_bimaculatus	767	1258	1885	1457	2642	726	1712	1217	1103	0	380	2785	2887	1014	1309	978	1548	1223	350	1015	2368	321	390	966	518	943	2012	820	1883	1848	1153	402	1552	55	751	432	1074	820	176	1456	899	1872	1416	885	354	809	232	508	1097	673	348	1158	1158	2061	1119	726	1284	1060	0	0	1370	1834	1683	1321	653	1998	818	2525	1246	494	1786	838	866	910	935	631	1124	1077	1577	1673	2036	979	1977	438	0
Gryllodes_sigillatus	2031	829	358	339	1241	1367	757	792	1402	3	200	2259	638	629	1174	1034	1179	223	908	334	642	854	919	496	1019	1359	1523	1219	2001	2114	799	1411	344	56	628	1481	468	1820	950	526	585	1425	651	2449	704	892	728	1634	818	919	1079	1912	530	0	740	780	1094	926	5	0	903	2115	2168	1686	416	1139	1256	902	1450	258	706	566	1035	521	348	309	1138	496	881	1277	660	1360	1222	330	0
Drosophila_yakuba	95	1357	1175	213	103	152	714	833	371	0	982	263	409	432	133	96	272	19	52	285	341	97	403	170	19	849	95	180	2076	1810	1250	980	1237	2	155	38	321	440	32	305	26	45	120	436	85	194	291	232	590	568	328	358	373	517	91	350	117	244	0	0	386	1186	1628	1282	468	1771	2073	1257	1496	157	515	690	972	458	180	344	567	918	1846	1286	1715	1227	1876	414	0
Drosophila_hydei	17	15	14	37	33	29	55	260	11	0	16	47	85	106	48	79	21	19	159	9	19	30	17	21	20	31	24	0	80	0	130	22	19	0	33	14	211	50	0	171	28	53	37	32	37	125	9	36	43	19	17	30	0	15	20	88	36	15	0	0	15	9	37	30	11	20	81	333	24	4	13	0	20	0	7	5	0	0	6	42	34	36	14	51	0
Hermetia_illucens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	0	0	206	17	178	53	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	30	22	0	0	0	0	0	0	2	7	4	0	0	0	0	0	0	0	0	0	0	0	605	1682	2401	866	811	969	0	0	0	0	0	0	20	0	0	0
Stick_insect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	791	214	290	1875	460	0	0	0	0	0	0	265	1513	5052	1374	350	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1031	1292	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3775	1938	2338	1189	4333	2364	0	0	0	746	906	1893	0
Cryptolaemus_montrouzieri	0	0	0	0	0	0	0	0	0	0	135	24	330	0	0	0	292	146	367	798	591	400	373	207	775	570	171	153	248	763	578	199	417	6	0	0	0	0	0	0	0	0	0	93	182	13	0	0	0	0	0	0	0	0	0	139	56	27	0	0	0	0	0	0	0	0	0	0	0	290	160	146	849	376	1816	457	746	944	0	0	0	210	652	214	0
Dacnusa_sibirica	0	0	0	0	0	0	0	0	0	0	0	0	0	41	93	109	0	0	0	185	111	443	134	302	1438	274	234	326	436	2007	2075	1412	182	0	879	112	382	0	0	0	59	17	101	0	0	0	298	360	1178	447	216	326	548	4	40	638	414	235	0	0	0	0	0	0	0	0	0	0	0	0	3	4	11	4	4	4	19	124	13	52	11	233	206	371	0
Drosophila_melanogaster	0	0	0	0	0	0	0	0	0	0	0	0	0	262	1571	1459	767	115	1235	58	287	268	354	100	567	1013	631	223	716	1303	950	49	85	16	0	0	0	0	0	0	0	0	0	4	271	793	2750	120	1288	207	579	80	1205	326	394	0	0	0	0	0	0	0	0	0	0	0	0	0	3	752	2162	872	324	162	130	63	295	200	200	375	367	253	525	333	0
Aphidoletes_aphidimyza	0	0	0	0	0	0	0	0	0	0	0	0	0	61	259	107	44	125	84	123	145	380	282	255	557	118	124	121	121	510	422	1513	282	0	0	0	0	151	201	151	192	447	205	200	165	116	0	0	0	0	0	0	379	51	99	242	198	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	259	190	86	0
Encarsia_formosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	60	341	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	53	27	36	0	0	0	0	0	0	356	303	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0
